BestBid,BestAsk,Spread,Depth
2025-11-11 18:50:29.820732,99.1201,99.1201,2.03846e-05,1045
2025-11-11 18:50:29.823407,99.1201,99.1201,2.93822e-07,1020
2025-11-11 18:50:29.825842,99.1201,99.1201,2.03846e-05,1119
2025-11-11 18:50:29.828698,99.1201,99.1201,5.52157e-06,958
2025-11-11 18:50:29.831858,99.12,99.1201,3.12906e-05,1105
2025-11-11 18:50:29.834397,99.12,99.12,3.11404e-05,1568
2025-11-11 18:50:29.836919,99.12,99.12,3.11404e-05,1563
2025-11-11 18:50:29.839421,99.12,99.12,3.11404e-05,1342
2025-11-11 18:50:29.841896,99.12,99.12,3.11404e-05,1227
2025-11-11 18:50:29.844294,99.12,99.12,3.81235e-05,1575
2025-11-11 18:50:29.846887,99.12,99.12,2.7166e-06,2065
2025-11-11 18:50:29.849321,99.12,99.12,3.81235e-05,1491
2025-11-11 18:50:29.851986,99.12,99.12,3.11404e-05,1260
2025-11-11 18:50:29.854994,99.12,99.1201,3.12906e-05,1282
2025-11-11 18:50:29.857588,99.12,99.1201,3.12906e-05,1261
2025-11-11 18:50:29.860098,99.12,99.1201,3.12906e-05,1238
2025-11-11 18:50:29.862501,99.12,99.1201,3.12906e-05,1003
2025-11-11 18:50:29.865457,99.12,99.1201,3.12906e-05,874
2025-11-11 18:50:29.868026,99.12,99.12,3.11404e-05,1493
2025-11-11 18:50:29.870631,99.12,99.12,3.81235e-05,1741
2025-11-11 18:50:29.873232,99.12,99.12,2.7166e-06,2167
2025-11-11 18:50:29.875811,99.1199,99.12,3.82559e-05,2621
2025-11-11 18:50:29.878208,99.12,99.12,2.7166e-06,2442
2025-11-11 18:50:29.880817,99.1199,99.12,3.82559e-05,2708
2025-11-11 18:50:29.883393,99.1199,99.12,3.82559e-05,2679
2025-11-11 18:50:29.885848,99.1199,99.1199,6.00785e-05,2775
2025-11-11 18:50:29.889260,99.1199,99.1199,6.00785e-05,2667
2025-11-11 18:50:29.891975,99.1199,99.1199,6.00785e-05,2504
2025-11-11 18:50:29.894419,99.1199,99.12,3.82559e-05,2518
2025-11-11 18:50:29.896975,99.1199,99.1199,6.00785e-05,2363
2025-11-11 18:50:29.900038,99.1199,99.12,3.82559e-05,2907
2025-11-11 18:50:29.902661,99.12,99.12,2.7166e-06,2719
2025-11-11 18:50:29.905434,99.12,99.12,3.81235e-05,2299
2025-11-11 18:50:29.907910,99.12,99.12,3.81235e-05,2290
2025-11-11 18:50:29.910379,99.12,99.12,2.7166e-06,2613
2025-11-11 18:50:29.913239,99.12,99.12,3.81235e-05,2609
2025-11-11 18:50:29.915664,99.12,99.12,3.81235e-05,2525
2025-11-11 18:50:29.918198,99.12,99.12,3.81235e-05,2401
2025-11-11 18:50:29.921073,99.12,99.12,3.11404e-05,2588
2025-11-11 18:50:29.924243,99.12,99.12,3.11404e-05,2195
2025-11-11 18:50:29.927681,99.12,99.12,3.11404e-05,2014
2025-11-11 18:50:29.930734,99.12,99.12,3.11404e-05,1934
2025-11-11 18:50:29.933795,99.12,99.1201,3.12906e-05,1620
2025-11-11 18:50:29.936427,99.12,99.1201,3.12906e-05,1611
2025-11-11 18:50:29.939261,99.1201,99.1201,5.52157e-06,1553
2025-11-11 18:50:29.941871,99.1201,99.1201,5.52157e-06,1376
2025-11-11 18:50:29.944483,99.1201,99.1201,2.03846e-05,1049
2025-11-11 18:50:29.947235,99.1201,99.1201,5.52157e-06,2109
2025-11-11 18:50:29.950185,99.1201,99.1201,5.52157e-06,1934
2025-11-11 18:50:29.952769,99.1201,99.1201,5.52157e-06,1572
2025-11-11 18:50:29.955300,99.1201,99.1201,5.52157e-06,1470
2025-11-11 18:50:29.957762,99.12,99.1201,3.12906e-05,1921
2025-11-11 18:50:29.960213,99.1201,99.1201,5.52157e-06,1605
2025-11-11 18:50:29.962881,99.12,99.1201,3.12906e-05,2143
2025-11-11 18:50:29.965589,99.12,99.1201,3.12906e-05,2039
2025-11-11 18:50:29.968125,99.1201,99.1201,5.52157e-06,1442
2025-11-11 18:50:29.971378,99.1201,99.1201,5.52157e-06,1168
2025-11-11 18:50:29.974098,99.12,99.1201,3.12906e-05,1700
2025-11-11 18:50:29.976608,99.12,99.1201,3.12906e-05,1659
2025-11-11 18:50:29.979097,99.12,99.1201,3.12906e-05,1646
2025-11-11 18:50:29.982210,99.1201,99.1201,5.52157e-06,1158
2025-11-11 18:50:29.984748,99.12,99.1201,3.12906e-05,1562
2025-11-11 18:50:29.987474,99.12,99.1201,3.12906e-05,1538
2025-11-11 18:50:29.989984,99.1201,99.1201,5.52157e-06,1364
2025-11-11 18:50:29.992625,99.12,99.1201,3.12906e-05,1589
2025-11-11 18:50:29.995240,99.1201,99.1201,5.52157e-06,1255
2025-11-11 18:50:29.997992,99.1201,99.1201,5.52157e-06,1203
2025-11-11 18:50:30.000354,99.1201,99.1201,2.03846e-05,952
2025-11-11 18:50:30.003386,99.1201,99.1201,5.52157e-06,1153
